"type","code","score","sportsmen_count","equipment","description","image"
"power","ASDP22","1","2","Полотно","Верхний спортсмен:               Крестовая намотка на пояснице                    Удержание двумя руками   Нижний спортсмен: Вис на одной руке Отклонение линии ног от параллели полу более 45 градусов                           Ноги вместе","https://admin.wafed.org/storage/elements/18723/image.webp"
"power","SDP18","1","2","Стропы","Оба спортсмена:  Вис на шее Проворот плеч Верхняя ногу согнута в колене                                       Нижняя нога прямая ","https://admin.wafed.org/storage/elements/18809/image.webp"
"power","AHDP11","0.4","2","Кольцо","Верхний спортсмен: Упор в кольцо Удержание ноги партнера Вторая рука не на снаряде  Нижний спортсмен: Удержание одноименной ноги рукой за щиколотку Проворот плеча                     Удерживаемая нога согнута","https://admin.wafed.org/storage/elements/18604/image.webp"
"power","ASDP23","1","2","Полотно","Оба спортсмена: Вис на одной руке Прямой хват","https://admin.wafed.org/storage/elements/18724/image.webp"
"power","SDP19","1.2","2","Стропы","Верхний спортсмен: Любая фиксирующая намотка Удержание одной рукой  Нижний спортсмен: Ноги прямые,   Ноги разведены Допускается отклонение ног не больше угла в 45 градусов от параллели полу","https://admin.wafed.org/storage/elements/18810/image.webp"
"power","AHDP12","0.4","2","Кольцо","Верхний спортсмен: Вис на пояснице Ноги в стороны  Нижний спортсмен: Вис на руках партнера Ноги в стороны Руки не на снаряде Руки не касаются партнера ","https://admin.wafed.org/storage/elements/18605/image.webp"
"power","ASDP24","1","2","Полотно","Верхний спортсмен:              Крестовая намоткая на пояснице Удержание партнера двумя руками  Нижний спортсмен: Ноги прямые Удержание ноги за щиколотку Проворот плеч ","https://admin.wafed.org/storage/elements/18725/image.webp"
"power","SDP20","1.2","2","Стропы","Оба спортсмена:  Вис на шее Проворот плеч Ноги прямые  Удержание ноги за щиколотку","https://admin.wafed.org/storage/elements/18811/image.webp"
"power","AHDP13","0.4","2","Кольцо","Вис на локте  Удержание ноги партнера  Удержание свободной ноги за щиколотку Ноги прямые","https://admin.wafed.org/storage/elements/18606/image.webp"
"power","ASDP25","1.2","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Руки прямые Удержание партнера за шею  Нижний спортсмен: Вис на шее Продольный шпагат 180 градусов и более                    Удержание ног на участке от колена до щиколотки                                                                 ","https://admin.wafed.org/storage/elements/18726/image.webp"
"power","SDP21","1.2","2","Стропы","Верхний спортсмен: В любой фиксирующей намотке Руки прямые  Нижний спортсмен: Передний бланш Одна нога согнута Линия ног и корпуса параллельно полу","https://admin.wafed.org/storage/elements/18812/image.webp"
"power","AHDP14","0.4","2","Кольцо","Верхний спортсмен  Вис в прогибе со шпагатом на верхней дуге                        Продольная шпагатная линия менее 180 градусов  Нижний спортсмен  стопы сокращены  Удержание нижней ноги партнера ","https://admin.wafed.org/storage/elements/18607/image.webp"
"power","ASDP26","1.2","2","Полотно","Верхний спортсмен:                Крестовая намотка на пояснице Удержание одной рукой   Нижний спортсмен: Вис на одной руке Отклонение линии ног от параллели полу более 45 градусов","https://admin.wafed.org/storage/elements/18727/image.webp"
"power","SDP22","1.2","2","Стропы","Верхний спортсмен: В любой фиксирующей намотке Руки прямые  Нижний спортсмен: Ноги прямые Ноги разведены Линия ног и корпуса параллельно полу","https://admin.wafed.org/storage/elements/18813/image.webp"
"power","AHDP15","0.6","2","Кольцо","Верхний спортсмен: Зацеп за стропу Ноги согнуты Две руки удерживают одну стопу партнера  Нижний спортсмен: Опорная нога прямая Руки не на снаряде Вторая нога не на снаряде","https://admin.wafed.org/storage/elements/18608/image.webp"
"power","ASDP27","1.2","2","Полотно","Верхний спортсмен: Фиксирующая намотка на щиколотках Удержание одной рукой  Нижний спортсмен: Вис на одной руке                Ноги разведены Отклонение линии верхней ноги от параллели полу не более 45 градусов","https://admin.wafed.org/storage/elements/18728/image.webp"
"power","SDP23","1.4","2","Стропы","Верхний спортсмен: Любая фиксирующая намотка Удержание двумя руками  Нижний спортсмен: Ноги прямые, ноги вместе  Допускается отклонение ног не больше угла в 45 градусов от параллели полу","https://admin.wafed.org/storage/elements/18814/image.webp"
"power","AHDP16","0.6","2","Кольцо","Верхний спортсмен: Упор в кольцо Удержание ноги партнера Вторая рука не на снаряде  Нижний спортсмен: Продольный шпагат 180 градусов и более Удержание одноименной ноги рукой за щиколотку Проворот плеча","https://admin.wafed.org/storage/elements/18609/image.webp"
"power","ASDP28","1.2","2","Полотно","Оба спортсмена: Вис на одной руке Отклонение линии ног от параллели полу не более 45 градусов","https://admin.wafed.org/storage/elements/18729/image.webp"
"power","SDP24","1.4","2","Стропы","Верхний спортсмен: В любой фиксирующей намотке Руки прямые  Нижний спортсмен: Ноги прямые  Ноги разведены Линия ног и корпуса параллельно полу","https://admin.wafed.org/storage/elements/18815/image.webp"
"power","AHDP17","0.6","2","Кольцо","Верхний спортсмен: Без удержания снаряда руками  Нижний спортсмен: Прогиб спины                          Руки прямые","https://admin.wafed.org/storage/elements/18610/image.webp"
"power","ASDP29","1.4","2","Полотно","Верхний спортсмен: Удерживает петлю из концов полотен Руки прямые                         Крестовая намоткая на пояснице  Нижний спортсмен: Вис на шее Удержание ног за щиколотки Продольный шпагат 180 градусов и более  ","https://admin.wafed.org/storage/elements/18730/image.webp"
"power","SDP25","1.4","2","Стропы","Верхний спортсмен: В любой фиксирующей намотке Руки прямые  Нижний спортсмен: Ноги прямые, ноги вместе Линия ног и корпуса параллельно полу","https://admin.wafed.org/storage/elements/18816/image.webp"
"power","AHDP18","0.6","2","Кольцо","Оба спортсмена  Вис на локте  Свободная рука удерживает разноименную ногу  Ноги в шпагатной линии ","https://admin.wafed.org/storage/elements/18611/image.webp"
"power","ASDP30","1.4","2","Полотно","Верхний спортсмен:                Крестовая намотка на пояснице Удержание одной рукой   Нижний спортсмен: Вис на одной руке Отклонение линии ног от параллели полу не более 45 градусов","https://admin.wafed.org/storage/elements/18731/image.webp"
"power","SDP26","1.4","2","Стропы","Оба спортсмена: Образуемая линия параллельна полу Без дополнительных фиксация","https://admin.wafed.org/storage/elements/18817/image.webp"
"power","AHDP19","0.6","2","Кольцо","Верхний спортсмен: Удержание ног за щиколотки без проворота плеч  Нижний спортсмен: Проворот плеч Бильман Удержание ног за щиколотку","https://admin.wafed.org/storage/elements/18612/image.webp"
"power","ASDP31","1.4","2","Полотно","Оба спортсмена: Вис на одной руке Прямой хват Удержание разноименной ноги за щиколотку Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/18732/image.webp"
"power","SDP27","1.4","2","Стропы","Верхний спортсмен: В любой фиксирующей намотке Руки прямые  Нижний спортсмен: Ноги прямые, ноги вместе Линия ног и корпуса параллельно полу","https://admin.wafed.org/storage/elements/18818/image.webp"
"power","AHDP20","0.6","2","Кольцо","Верхний спортсмен: Вис на верхней дуге Ноги прямые Руки не на снаряде  Нижний спортсмен: Вис на стопах Ноги прямые Руки не помогают в удержании","https://admin.wafed.org/storage/elements/18613/image.webp"
"power","ASDP32","1.4","2","Полотно","Верхний спортсмен: Фиксирующая намотка на щиколотках Удержание одной рукой  Нижний спортсмен: Вис на одной руке Отклонение линии ног от параллели полу не более 45 градусов","https://admin.wafed.org/storage/elements/18733/image.webp"
"power","AHDP21","0.6","2","Кольцо","Оба спортсмена              Свободная рука не на снаряде Ноги прямые  Без дополнительных зацепов, удержаний                Отклонение от параллели полу не более 45 градусов","https://admin.wafed.org/storage/elements/18614/image.webp"
"power","ASDP33","1.4","2","Полотно","Верхний спортсмен: Удержание одной рукой  Крестовая намоткая на пояснице  Нижний спортсмен: Вис на одной руке Ноги в согнуты                     Удержание ноги на участке от колена до щиколотки ","https://admin.wafed.org/storage/elements/18734/image.webp"
"power","AHDP22","0.6","2","Кольцо","Оба спортсмена  Ноги прямые Ноги вместе  Упор в плечо  Корпус перпендикулярно полу ","https://admin.wafed.org/storage/elements/18615/image.webp"
"power","AHDP23","0.8","2","Кольцо","Верхний спортсмен: Вис на верхней дуге Удержание рукой за стропу  Нижний спортсмен: Руки удерживают ногу за щиколотку Проворот плеч в положении Бильман                                    Ноги прямые","https://admin.wafed.org/storage/elements/18616/image.webp"
"power","AHDP24","0.8","2","Кольцо","Верхний спортсмен: Удержание ног за щиколотки  Проворот плеч Бильман  Нижний спортсмен: Проворот плеч Бильман Удержание ног","https://admin.wafed.org/storage/elements/18617/image.webp"
